player_id,name,age,position,team,goals,assists,yellow_cards,red_cards,matches_played,injured
P001,Player 1,21,Forward,Team C,20,3,0,2,13,1
P002,Player 2,25,Midfielder,Team B,7,7,1,2,8,1
P003,Player 3,21,Forward,Team D,17,2,4,1,6,1
P004,Player 4,19,Forward,Team A,0,2,1,0,21,1
P005,Player 5,24,Midfielder,Team A,19,0,4,0,27,1
P006,Player 6,35,Midfielder,Team D,20,13,1,1,23,1
P007,Player 7,25,Goalkeeper,Team C,8,0,1,2,18,1
P008,Player 8,18,Midfielder,Team D,10,8,1,0,29,1
P009,Player 9,28,Defender,Team B,10,3,0,1,8,1
P010,Player 10,24,Defender,Team A,11,11,4,1,30,1
P011,Player 11,20,Goalkeeper,Team A,1,14,4,0,17,1
P012,Player 12,29,Defender,Team C,2,9,5,2,16,1
P013,Player 13,19,Goalkeeper,Team A,18,6,5,0,6,1
P014,Player 14,30,Forward,Team C,7,9,0,0,8,1
P015,Player 15,29,Midfielder,Team A,12,8,3,2,16,1
P016,Player 16,19,Midfielder,Team C,5,11,2,0,26,1
P017,Player 17,20,Midfielder,Team A,8,2,4,2,10,1
P018,Player 18,30,Defender,Team D,17,7,1,1,17,1
P019,Player 19,29,Midfielder,Team C,8,7,5,1,29,1
P020,Player 20,29,Midfielder,Team C,1,7,0,1,17,1
