player_id,baseline_training_load,baseline_reaction_time,baseline_sleep,baseline_recovery
P001,68.73333333333333,253.0,8.01,75.0
P002,68.5,206.0,7.5,76.0
P003,69.7,201.0,8.81,69.0
P004,69.4,198.0,8.5,90.0
P005,70.23333333333333,199.0,6.75,93.0
P006,70.16666666666667,196.0,8.26,71.0
P007,64.83333333333333,189.0,8.02,68.0
P008,72.43333333333334,255.0,7.22,71.0
P009,64.13333333333334,186.0,7.67,75.0
P010,70.53333333333333,238.0,6.66,64.0
P011,71.06666666666666,220.0,7.81,69.0
P012,66.36666666666666,199.0,8.02,75.0
P013,71.86666666666666,257.0,7.63,77.0
P014,67.9,247.0,7.73,71.0
P015,67.06666666666666,228.0,8.95,68.0
P016,69.26666666666667,246.0,8.3,63.0
P017,69.0,183.0,7.13,87.0
P018,64.13333333333334,233.0,6.59,64.0
P019,68.73333333333333,245.0,7.49,82.0
P020,68.6,242.0,8.84,71.0
