player_id,match_id,minutes_played,rpe,session_load,stress_level,reaction_time_ms,sleep_duration,sleep_quality,recovery_score
P001,M001,68,6.35,431.8,0.0,258.52,7.88,87.11,76.14
P001,M002,56,6.37,356.72,0.0,251.34,7.92,89.04,76.15
P001,M003,75,7.13,534.75,0.0,256.06,7.94,91.83,75.35
P001,M004,67,4.97,332.99,0.0,253.6,7.61,78.55,74.09
P001,M005,58,6.02,349.16,0.0,253.23,8.08,88.03,75.17
P001,M006,58,6.21,360.18,0.0,258.16,7.81,85.7,78.25
P001,M007,62,6.55,406.1,0.0,256.46,7.82,87.66,75.92
P001,M008,79,6.91,545.89,0.0,261.49,8.16,90.56,76.95
P001,M009,62,6.62,410.44,0.0,257.87,7.86,88.19,74.56
P001,M010,72,4.69,337.68,0.0,246.23,8.19,83.37,75.27
P001,M011,76,7.04,535.04,0.0,258.88,8.28,91.6,76.63
P001,M012,62,5.9,365.8,0.0,248.53,7.92,87.48,76.3
P001,M013,65,5.52,358.8,0.0,248.88,7.99,86.5,74.04
P001,M014,77,5.19,399.63,0.0,245.6,8.0,85.77,76.1
P001,M015,83,6.4,531.2,0.0,250.83,8.06,90.43,76.45
P001,M016,71,5.9,418.9,0.0,262.15,7.94,85.02,74.11
P001,M017,52,6.67,346.84,0.0,253.58,7.91,89.89,73.14
P001,M018,61,5.8,353.8,0.0,253.31,8.04,87.03,76.85
P001,M019,69,5.48,378.12,0.0,254.7,7.95,84.71,75.6
P001,M020,75,5.91,443.25,0.0,254.6,8.08,87.28,74.97
P001,M021,61,5.88,358.68,0.0,259.43,7.74,83.13,74.29
P001,M022,81,7.42,601.02,0.0,260.69,8.22,93.18,72.33
P001,M023,82,5.12,419.84,0.0,253.86,7.99,83.73,74.6
P001,M024,69,6.41,442.29,0.0,254.04,7.94,88.92,77.45
P001,M025,64,5.44,348.16,0.0,251.03,8.39,85.85,76.76
P001,M026,77,6.19,476.63,0.0,253.92,8.19,88.69,75.14
P001,M027,66,7.05,465.3,0.0,254.34,7.76,89.6,71.51
P001,M028,79,5.68,448.72,0.0,249.02,7.76,84.5,77.3
P001,M029,63,6.15,387.45,0.0,250.41,8.18,89.17,73.76
P001,M030,63,6.19,389.97,0.0,255.02,7.94,87.71,74.97
P002,M001,63,6.66,419.58,0.0,207.5,7.48,84.42,76.9
P002,M002,69,5.49,378.81,0.0,207.29,7.63,81.02,75.91
P002,M003,61,5.9,359.9,0.0,200.63,7.51,82.74,75.1
P002,M004,86,5.96,512.56,0.0,206.86,7.36,80.26,72.61
P002,M005,89,6.27,558.03,0.0,206.03,7.69,85.81,75.16
P002,M006,81,5.65,457.65,0.0,204.56,7.55,81.34,76.1
P002,M007,81,6.39,517.59,0.0,214.18,7.33,80.32,75.81
