match_id,team_home,team_away,home_score,away_score,minutes_played
M001,Team C,Team A,5,2,71
M002,Team B,Team C,1,5,53
M003,Team C,Team D,5,4,52
M004,Team C,Team D,3,0,47
M005,Team C,Team A,1,1,82
M006,Team C,Team D,1,5,76
M007,Team A,Team C,3,4,58
M008,Team D,Team C,1,5,75
M009,Team A,Team B,2,1,51
M010,Team B,Team A,0,0,70
M011,Team A,Team C,2,2,62
M012,Team D,Team C,5,3,78
M013,Team C,Team B,0,4,57
M014,Team D,Team A,4,2,87
M015,Team B,Team D,0,0,48
M016,Team B,Team A,0,1,67
M017,Team C,Team B,2,3,59
M018,Team D,Team C,2,2,53
M019,Team B,Team D,2,5,70
M020,Team C,Team D,5,1,48
M021,Team B,Team C,3,3,57
M022,Team D,Team A,5,4,74
M023,Team B,Team D,2,0,73
M024,Team B,Team C,2,3,94
M025,Team D,Team C,1,4,84
M026,Team D,Team C,5,3,60
M027,Team A,Team D,3,1,51
M028,Team D,Team C,1,5,62
M029,Team D,Team A,4,3,52
M030,Team A,Team B,1,1,71
