player_id,match_id,minutes_played,rpe,synthetic_workload_stress
P001,M001,68,6.35,0.0
P001,M002,56,6.37,0.0
P001,M003,75,7.13,0.0
P001,M004,67,4.97,0.0
P001,M005,58,6.02,0.0
P001,M006,58,6.21,0.0
P001,M007,62,6.55,0.0
P001,M008,79,6.91,0.0
P001,M009,62,6.62,0.0
P001,M010,72,4.69,0.0
P001,M011,76,7.04,0.0
P001,M012,62,5.9,0.0
P001,M013,65,5.52,0.0
P001,M014,77,5.19,0.0
P001,M015,83,6.4,0.0
P001,M016,71,5.9,0.0
P001,M017,52,6.67,0.0
P001,M018,61,5.8,0.0
P001,M019,69,5.48,0.0
P001,M020,75,5.91,0.0
P001,M021,61,5.88,0.0
P001,M022,81,7.42,0.0
P001,M023,82,5.12,0.0
P001,M024,69,6.41,0.0
P001,M025,64,5.44,0.0
P001,M026,77,6.19,0.0
P001,M027,66,7.05,0.0
P001,M028,79,5.68,0.0
P001,M029,63,6.15,0.0
P001,M030,63,6.19,0.0
P002,M001,63,6.66,0.0
P002,M002,69,5.49,0.0
P002,M003,61,5.9,0.0
P002,M004,86,5.96,0.0
P002,M005,89,6.27,0.0
P002,M006,81,5.65,0.0
P002,M007,81,6.39,0.0
P002,M008,72,6.37,0.0
P002,M009,58,6.33,0.0
P002,M010,62,5.23,0.0
P002,M011,68,5.27,0.0
P002,M012,82,6.76,0.0
P002,M013,77,5.67,0.0
P002,M014,63,6.82,0.0
P002,M015,84,6.02,0.0
P002,M016,77,5.83,0.0
P002,M017,66,6.65,0.0
P002,M018,58,5.17,0.0
P002,M019,63,6.22,0.5
P002,M020,66,6.26,1.0
P002,M021,59,6.8,1.5
P002,M022,84,7.96,2.0
P002,M023,78,6.72,0.0
P002,M024,63,5.62,0.0
P002,M025,49,6.73,0.0
P002,M026,59,7.03,0.0
P002,M027,58,5.87,0.0
P002,M028,75,5.06,0.0
P002,M029,70,6.73,0.0
P002,M030,75,6.23,0.0
P003,M001,58,6.79,0.0
P003,M002,82,6.03,0.0
P003,M003,61,6.04,0.0
P003,M004,70,5.43,0.0
P003,M005,60,5.68,0.0
P003,M006,66,5.8,0.0
P003,M007,81,5.85,0.0
P003,M008,78,6.85,0.0
P003,M009,78,5.4,0.0
P003,M010,80,6.8,0.0
P003,M011,67,6.74,0.0
P003,M012,68,6.09,0.0
P003,M013,68,6.27,0.0
P003,M014,54,5.4,0.0
P003,M015,62,5.78,0.0
P003,M016,64,6.54,0.0
P003,M017,65,4.58,0.0
P003,M018,67,5.86,0.0
P003,M019,72,5.93,0.0
P003,M020,67,5.42,0.0
P003,M021,48,6.18,0.0
P003,M022,72,6.45,0.0
P003,M023,57,7.4,0.0
P003,M024,71,6.73,0.0
P003,M025,54,6.62,0.0
P003,M026,66,5.82,0.0
P003,M027,73,6.3,0.0
P003,M028,74,4.82,0.0
P003,M029,57,5.37,0.0
P003,M030,84,5.48,0.0
P004,M001,53,5.06,0.0
P004,M002,67,7.04,0.0
P004,M003,66,6.44,0.0
P004,M004,66,5.33,0.0
P004,M005,53,5.28,0.0
P004,M006,51,6.0,0.0
P004,M007,78,5.36,0.0
P004,M008,73,5.76,0.0
P004,M009,64,6.16,0.0
P004,M010,72,6.7,0.0
P004,M011,54,6.58,0.0
P004,M012,80,6.56,0.0
P004,M013,40,6.58,0.0
P004,M014,80,6.54,0.0
P004,M015,71,7.01,0.5
P004,M016,74,6.14,1.0
P004,M017,61,7.3,1.5
P004,M018,84,7.4,2.0
P004,M019,75,5.72,0.0
P004,M020,67,6.44,0.0
P004,M021,69,7.19,0.0
P004,M022,81,6.77,0.0
P004,M023,87,5.79,0.0
P004,M024,58,5.71,0.0
P004,M025,50,6.12,0.0
P004,M026,87,7.02,0.0
P004,M027,63,5.02,0.0
P004,M028,74,5.98,0.0
P004,M029,61,5.37,0.0
P004,M030,71,5.83,0.0
P005,M001,60,6.02,0.0
P005,M002,68,5.36,0.0
P005,M003,95,6.02,0.0
P005,M004,69,5.61,0.0
P005,M005,72,5.64,0.0
P005,M006,51,5.93,0.0
P005,M007,71,5.26,0.0
P005,M008,62,5.98,0.0
P005,M009,58,4.98,0.0
P005,M010,70,6.4,0.0
P005,M011,72,6.8,0.0
