player_id,goals,assists,yellow_cards,red_cards,matches_played,reaction_time_ms,sleep_duration,recovery_score
P001,20,3,0,2,13,253,8.01,75
P002,7,7,1,2,8,206,7.5,76
P003,17,2,4,1,6,201,8.81,69
P004,0,2,1,0,21,198,8.5,90
P005,19,0,4,0,27,199,6.75,93
P006,20,13,1,1,23,196,8.26,71
P007,8,0,1,2,18,189,8.02,68
P008,10,8,1,0,29,255,7.22,71
P009,10,3,0,1,8,186,7.67,75
P010,11,11,4,1,30,238,6.66,64
P011,1,14,4,0,17,220,7.81,69
P012,2,9,5,2,16,199,8.02,75
P013,18,6,5,0,6,257,7.63,77
P014,7,9,0,0,8,247,7.73,71
P015,12,8,3,2,16,228,8.95,68
P016,5,11,2,0,26,246,8.3,63
P017,8,2,4,2,10,183,7.13,87
P018,17,7,1,1,17,233,6.59,64
P019,8,7,5,1,29,245,7.49,82
P020,1,7,0,1,17,242,8.84,71
