match_id,team_home,team_away,home_score,away_score
M001,Team C,Team A,5,2
M002,Team B,Team C,1,5
M003,Team C,Team D,5,4
M004,Team C,Team D,3,0
M005,Team C,Team A,1,1
M006,Team C,Team D,1,5
M007,Team A,Team C,3,4
M008,Team D,Team C,1,5
M009,Team A,Team B,2,1
M010,Team B,Team A,0,0
M011,Team A,Team C,2,2
M012,Team D,Team C,5,3
M013,Team C,Team B,0,4
M014,Team D,Team A,4,2
M015,Team B,Team D,0,0
M016,Team B,Team A,0,1
M017,Team C,Team B,2,3
M018,Team D,Team C,2,2
M019,Team B,Team D,2,5
M020,Team C,Team D,5,1
M021,Team B,Team C,3,3
M022,Team D,Team A,5,4
M023,Team B,Team D,2,0
M024,Team B,Team C,2,3
M025,Team D,Team C,1,4
M026,Team D,Team C,5,3
M027,Team A,Team D,3,1
M028,Team D,Team C,1,5
M029,Team D,Team A,4,3
M030,Team A,Team B,1,1
